SEVERITY | FEATURE | ID | FIELD | VALUE | VIOLATION
WARNING | Route | EAD_RTE_LPC56_LP-LP | designator | LPC56 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC57_LP-LP | designator | LPC57 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC58_LP-LP | designator | LPC58 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC59_LP-LP | designator | LPC59 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC60_LP-LP | designator | LPC60 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC61_LP-LP | designator | LPC61 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC62_LP-LP | designator | LPC62 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC63_LP-LP | designator | LPC63 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC64_LP-LP | designator | LPC64 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC65_LP-LP | designator | LPC65 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC66_LP-LP | designator | LPC66 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC67_LP-LP | designator | LPC67 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC68_LP-LP | designator | LPC68 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC69_LP-LP | designator | LPC69 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC70_LP-LP | designator | LPC70 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC71_LP-LP | designator | LPC71 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LPC72_LP-LP | designator | LPC72 | desene_uymayan_kod_name_alanina_yazildi
