tablo,fid,code_id,data_originator,name,lat_dd,lon_dd,mid
dp_adhp,5223,ARC01,NAV CANADA,ARC01,62.46284058333334,-114.62235249999999,400003812946420
dp_adhp,5224,ARC01,NAV CANADA,ARC01,55.14256941666667,-119.02287633333333,400003820022794
dp_adhp,5225,ARC01,NAV CANADA,ARC01,56.15324483333333,-120.7860623888889,400003879477118
dp_adhp,5226,ARC01,NAV CANADA,ARC01,60.80673763888888,-135.0333498888889,400004200962298
dp_adhp,5227,ARC01,NAV CANADA,ARC01,56.69470147222222,-111.36552677777777,400004294289972
dp_adhp,5228,ARC01,NAV CANADA,ARC01,49.60312072222222,-119.78876272222222,400004495554869
dp_adhp,5229,ARC01,NAV CANADA,ARC01,43.63674675,-79.8015971111111,400004537607397
dp_adhp,5230,ARC01,NAV CANADA,ARC01,46.28701516666666,-79.51950663888888,400005445698841
dp_adhp,5231,ARC01,NAV CANADA,ARC01,46.47103997222222,-84.65065255555557,400005466534527
dp_adhp,5232,ARC01,NAV CANADA,ARC01,46.53706361111111,-80.80164027777778,400005481031112
dp_adhp,5233,ARC01,NAV CANADA,ARC01,48.62476872222222,-81.26428775,400005514348339
dp_adhp,5234,ARC01,NAV CANADA,ARC01,43.24032725,-80.02435883333334,400005679443532
dp_adhp,5235,ARC01,NAV CANADA,ARC01,49.26389361111111,-123.29449202777778,500000293438000
dp_adhp,5236,ARC02,NAV CANADA,ARC02,45.33652861111111,-75.79072072222222,400002007608579
dp_adhp,5237,ARC02,NAV CANADA,ARC02,53.37838747222222,-113.42964527777778,400002137336739
dp_adhp,5238,ARC02,NAV CANADA,ARC02,49.993912944444446,-97.27714011111111,400002353433836
dp_adhp,5239,ARC02,NAV CANADA,ARC02,47.66146883333333,-52.852130611111114,400002420966588
dp_adhp,5240,ARC02,NAV CANADA,ARC02,49.94866944444444,-99.83517141666667,400002525699063
dp_adhp,5241,ARC02,NAV CANADA,ARC02,50.47073347222222,-104.54801061111111,400002528715347
dp_adhp,5242,ARC02,NAV CANADA,ARC02,52.20127491666667,-106.55461652777778,400002571879218
dp_adhp,5243,ARC02,NAV CANADA,ARC02,49.224087583333336,-57.27840647222222,400002701041125
dp_adhp,5244,ARC02,NAV CANADA,ARC02,46.81894508333334,-71.25016405555556,400002772834267
dp_adhp,5245,ARC02,NAV CANADA,ARC02,48.30718708333333,-89.41322347222223,400002908408485
dp_adhp,5246,ARC02,NAV CANADA,ARC02,43.11460175,-81.17126569444444,400002951690799
dp_adhp,5247,ARC02,NAV CANADA,ARC02,43.45236777777778,-80.27007663888888,400002969588736
dp_adhp,5248,ARC02,NAV CANADA,ARC02,50.77983386111111,-120.64707050000001,400003173684988
dp_adhp,5249,ARC02,NAV CANADA,ARC02,43.59638141666667,-79.44742716666667,400003238035268
