code_id,data_originator,adet,farkli_koordinat,tablolar,isimler
FREDY,EUROCONTROL NMOC,3,3,"dp_icao,dp_adhp",FREDY
G,AUSTRO CONTROL GMBH,3,3,dp_other,"GOLF (LOWI),G (LOAN),G (LOAV)"
GAMBA,EUROCONTROL NMOC,3,3,dp_icao,GAMBA
GAMMA,EUROCONTROL NMOC,3,3,dp_icao,GAMMA
GASAN,EUROCONTROL NMOC,3,3,dp_icao,GASAN
H,AUSTRO CONTROL GMBH,3,3,dp_other,"H (LOAN),HOTEL (LOWI),H (LOIR)"
HANKY,EUROCONTROL NMOC,3,3,dp_icao,HANKY
HAZEL,EUROCONTROL NMOC,3,3,dp_icao,HAZEL
HOTEL,EUROCONTROL NMOC,3,3,dp_icao,HOTEL
HS2,AIRWAYS CORPORATION OF NEW ZEALAND LTD,3,3,dp_other,HOT SPOT 2
I18RV,EUROCONTROL NMOC,3,3,dp_coord,"RV ILS 18 FAP 4000,RV ILS 18 FAP 2000,RV ILS 18 FAP 1500"
I36RV,EUROCONTROL NMOC,3,3,dp_coord,"RV ILS 36 FAP 2000,RV ILS 36 FAP 4000,RV ILS 36 FAP 1500"
IF08,MOLDAVIAN AIR TRAFFIC SERVICE PROVIDER (MOLDATSA),3,3,dp_other,"IF IAP ILS CAT I/II RWY 08 LUKK,IF IAP LOC RWY 08 LUKK,IF IAP VOR/DME RWY 08 LUKK"
IF26,MOLDAVIAN AIR TRAFFIC SERVICE PROVIDER (MOLDATSA),3,3,dp_other,"IF IAP VOR/DME RWY 26 LUKK,IF IAP ILS CAT I RWY 26 LUKK,IF IAP LOC RWY 26 LUKK"
IF27,BULATSA-BULGARIAN AIR TRAFFIC SERVICES AUTHORITY,3,3,dp_adhp,"LBSF IF ILS/LOC/VOR RWY 27,LBWN IF VOR RWY 27,LBGO IF VOR RWY 27"
INDIA,EUROCONTROL NMOC,3,3,dp_icao,INDIA
JOKER,EUROCONTROL NMOC,3,3,dp_icao,JOKER
KELLY,EUROCONTROL NMOC,3,3,dp_icao,KELLY
KONGO,EUROCONTROL NMOC,3,3,"dp_icao,dp_other","KONGO,KONGOLO"
LAMMA,EUROCONTROL NMOC,3,3,dp_icao,LAMMA
LOGAN,EUROCONTROL NMOC,3,3,dp_icao,LOGAN
MA07,NAV CANADA,3,3,dp_adhp,"YQU065005,YMJ286001,UAU241000"
MA11,NAV CANADA,3,3,dp_adhp,"XBG297001,YMJ0991,YUL317006"
MA24,NAV CANADA,3,3,dp_adhp,"YTR243006,YQL257004,YEV074002"
MA25,NAV CANADA,3,3,dp_adhp,"GH208001,UAU080001,YVP080004"
MA32,NAV CANADA,3,3,dp_adhp,"E2328002,YFS107002,MA32"
MAA,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,3,3,dp_other,"MAAYON,MAASIN,MAASIM"
MANDA,EUROCONTROL NMOC,3,3,dp_icao,MANDA
