tablo,fid,ident,data_originator,name,lat_dd,lon_dd
vor_dme,543,BNN,EUROCONTROL NMOC,BRONNOY,65.45707583,12.21429122
vor_dme,2061,BNN,EUROCONTROL NMOC,XISHUANGBANNA,21.979999999999997,100.755
dme,1706,BNS,EUROCONTROL NMOC,BARINAS,8.61675,-70.22052777777778
vor_dme,1252,BNS,EUROCONTROL NMOC,BARINAS,8.61675,-70.22052777777778
vor_dme,2055,BNS,EUROCONTROL NMOC,BENSLIMANE,33.64180555555556,-7.208
dme,2,BO,EUROCONTROL NMOC,BRNO/TURANY DME 27,49.1486806,16.7076139
dme,94,BO,EUROCONTROL NMOC,BODO,67.26635506,14.3413305
ils_dme,125,BPL,HUNGAROCONTROL,,47.44407755555555,19.262272805555554
ils_gp,170,BPL,HUNGAROCONTROL,,47.44410411111111,19.262308583333333
ils_loc,174,BPL,HUNGAROCONTROL,,47.42080405555555,19.297324361111112
dme,753,BPN,EUROCONTROL NMOC,BALIKPAPAN/SULTAN AJI MUHAMMAD SULAIMAN SEPINGGAN,-1.2457500000000001,116.94030555555555
dme,1274,BPN,EUROCONTROL NMOC,BOPAN,27.05388888888889,45.445277777777775
vor_dme,943,BPN,EUROCONTROL NMOC,BOPAN,27.05388888888889,45.445277777777775
vor_dme,1433,BPN,EUROCONTROL NMOC,BALIKPAPAN/SULTAN AJI MUHAMMAD SULAIMAN SEPINGGAN,-1.2457500000000001,116.94030555555555
vor_dme,2088,BPN,EUROCONTROL NMOC,BARAPANI,25.707375,91.97850555555556
ils_dme,286,BPR,HUNGAROCONTROL,,47.42381944444444,19.289858333333335
ils_gp,351,BPR,HUNGAROCONTROL,,47.423786111111106,19.289794444444446
ils_loc,362,BPR,HUNGAROCONTROL,,47.44757499999999,19.254083333333334
dme,330,BRC,EUROCONTROL NMOC,BRAC,43.28248055555555,16.622452777777777
vor_dme,2619,BRC,EUROCONTROL NMOC,BERNICE,24.012722222222223,35.442722222222216
tacan,223,BRI,DHMI TURKIYE,BALIKESIR/MERKEZ,39.617777777777775,27.92777777777778
vor_dme,2115,BRI,DHMI TURKIYE,BALIKESIR/MERKEZ,39.631750000000004,27.92875
dme,1498,BRL,EUROCONTROL NMOC,BURLINGTON,40.72345583333333,-90.92588972222222
vor_dme,1840,BRL,EUROCONTROL NMOC,BURLINGTON,40.72345583333333,-90.92588972222222
vor_dme,2694,BRL,EUROCONTROL NMOC,BAREILLY,28.416944444444447,79.45694444444445
dme,45,BRM,EUROCONTROL NMOC,BROOME,-17.946805555555557,122.23477777777778
dme,1707,BRM,EUROCONTROL NMOC,BARQUISIMETO,10.042527777777778,-69.35197222222222
vor_dme,1102,BRM,EUROCONTROL NMOC,BURI RAM,15.239555555555555,103.25877777777778
vor_dme,1254,BRM,EUROCONTROL NMOC,BARQUISIMETO,10.042527777777778,-69.35197222222222
dme,765,BRN,EUROCONTROL NMOC,BIRJAND,32.89761111111111,59.280944444444444
vor_dme,126,BRN,EUROCONTROL NMOC,SIDI BARRANI,31.575555555555557,26.005555555555556
vor_dme,2374,BRN,EUROCONTROL NMOC,BIRJAND,32.89761111111111,59.280944444444444
