ident,data_originator,type,adet,farkli_koordinat,tablolar,isimler
BIK,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BIAK/FRANS KAISIEPO,BIRNIN KEBBI"
BIS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BISKRA,BISSAU"
BJ,EUROCONTROL NMOC,DME,2,2,dme,"BEJA,BELY"
BJA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BUJUMBURA,BEJAIA"
BKY,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BOUAKE,BARKWAY"
BL,EUROCONTROL NMOC,DME,2,2,dme,"BRINGELAND,KHOROSHENKOYE"
BLT,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"GBADOLITE,BALTIM"
BNA,EUROCONTROL NMOC,DME,2,2,dme,"BENINA,BARCELONA"
BND,EUROCONTROL NMOC,DME,2,2,dme,"BREMEN,BANDAR ABBASS"
BND,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BANDUNG/HUSEIN SASTRANEGARA,BANDAR ABBASS"
BNE,SERVICE DE LINFORMATION AERONAUTIQUE,VOR DME,2,2,vor_dme,BOULOGNE
BNS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BARINAS,BENSLIMANE"
BO,EUROCONTROL NMOC,DME,2,2,dme,"BRNO/TURANY DME 27,BODO"
BPN,EUROCONTROL NMOC,DME,2,2,dme,"BALIKPAPAN/SULTAN AJI MUHAMMAD SULAIMAN SEPINGGAN,BOPAN"
BRL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BURLINGTON,BAREILLY"
BRM,EUROCONTROL NMOC,DME,2,2,dme,"BROOME,BARQUISIMETO"
BRM,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BURI RAM,BARQUISIMETO"
BRN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"SIDI BARRANI,BIRJAND"
BRT,EUROCONTROL NMOC,DME,2,2,dme,"BIRATNAGAR,BRATSK"
BSR,EUROCONTROL NMOC,VORTAC,2,2,vortac,"BASRAH,BIG SUR"
BTG,EUROCONTROL NMOC,VORTAC,2,2,vortac,"BATTLE GROUND,BATAGAY"
BTO,EUROCONTROL NMOC,DME,2,2,dme,"BONITO,TANGERANG/BUDIARTO"
BUN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BUNIA,BUENAVENTURA"
BUT,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"BUTA-ZEGA,U-TAPAO"
CAR,EUROCONTROL NMOC,DME,2,2,dme,"CONCEPCION,CARBONARA"
CAR,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CONCEPCION,CARNARVON"
CAT,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"EL SALVADOR,CATAMARCA"
CBA,EUROCONTROL NMOC,DME,2,2,dme,"COCHABAMBA,CASABLANCA / MOHAMED V"
CBA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CORDOBA / ING. A. TARABELLA,COCHABAMBA"
CBL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CIUDAD BOLIVAR,CASABLANCA / MOHAMMED V"
CEN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"OBREGON,CENCUN"
CGO,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"XINZHENG,CONGONHAS"
CGT,EUROCONTROL NMOC,VORTAC,2,2,vortac,"CHICAGO HEIGHTS,CHONGGU"
CHE,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CHITOSE,HAYDEN"
CHG,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CHAOYANG,CHANDIGARH"
CIA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"COCHIN,CUIABA"
CJS,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"JUAREZ,CARAJAS"
CKG,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"JAKARTA / SOEKARNO-HATTA,JIANGBEI"
CLA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CHICLAYO,CHU LAI"
CMA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CHIANG MAI,CANAIMA"
CMP,EUROCONTROL NMOC,DME,2,2,dme,"CZEMPIN,CHUM PHAE"
CN,EUROCONTROL NMOC,DME,2,2,dme,"KRISTIANSAND/KJEVIK,PIESTANY"
COL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"COLIMA,COLA"
CSL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CASELLE,LUCAS"
CSN,EUROCONTROL NMOC,VORTAC,2,2,vortac,"CASANOVA,CON SON"
CTB,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CURITIBA,CUT BANK"
CTG,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CHATTOGRAM,CARTAGENA"
CTR,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CHIANG RAI,CHESTER"
CUN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CANCUN,YECHEON"
DAR,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"DARLOWO,DARBAND"
DBL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"DALIAN,RED TABLE"
DBN,EUROCONTROL NMOC,VORTAC,2,2,vortac,"DUBLIN,DIEN BIEN"
DGO,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"DURANGO,SANTO DOMINGO"
DGP,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"DAUGAVPILS,DURGAPUR"
DHN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"DAHUSHAN,DEHNAMAK"
DIL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"TANDIL,DILI"
DMN,EUROCONTROL NMOC,DME,2,2,dme,"MUENCHEN,DAMAN"
DMN,EUROCONTROL NMOC,VORTAC,2,2,vortac,"DEMING,DAMAN"
DMT,EUROCONTROL NMOC,DME,2,2,dme,"DIAMANTINA,MONTARGIL"
DOH,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"DONG HOI,DOHA/HAMAD INTL"
DPR,EUROCONTROL NMOC,DME,2,2,dme,"PEREIRO,DUPREE"
DSH,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"DANGSHAN,DASHOGUZ"
ELD,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"EL DORADO,ELDORET"
ESP,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"ESPERANCE,ESPICHEL"
FFM,EUROCONTROL NMOC,VORTAC,2,2,vortac,"FERGUS FALLS,FRANKFURT"
FLG,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"FULING,FLAGSTAFF"
FSA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,FORMOSA
FYU,EUROCONTROL NMOC,VORTAC,2,2,vortac,"FORT YUKON,FUYU"
GAD,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"GHADAMES,GADSDEN"
GAO,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"NANCHONG,GAO/KOROGOUSSOU"
GFK,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"GRAND FORKS,LIANYUNGANG"
GNA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"GUAYANA,ELGENIENA"
GNV,EUROCONTROL NMOC,DME,2,2,dme,"GOIANIA,GELENDZHIK"
GRD,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"CAMPO GRANDE,HRODNA"
GV,EUROCONTROL NMOC,DME,2,2,dme,"NGONG HILLS,SURGUT"
HA,EUROCONTROL NMOC,DME,2,2,dme,"HAMMERFEST,HALLI"
HAB,EUROCONTROL NMOC,VORTAC,2,2,vortac,"KHABAROVSK,HAMADAN / NOGEH"
HAI,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"MORONI P.S.I,HAIMA"
HCH,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"HINCH MOUNTAIN,HUANGCHENG"
HCN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"HENGCHUN,CAP-HAITIEN"
HIA,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"WHITEHALL,HYDERABAD"
HL,EUROCONTROL NMOC,DME,2,2,dme,"HELSINKI-VANTAA,VESTMANNAEYJAR"
HLC,EUROCONTROL NMOC,VORTAC,2,2,vortac,"HILL CITY,HUILONG"
HME,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"HASSI MESSAOUD,HANEDA"
HOT,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"HOT SPRINGS,XILINHOT"
IAL,EUROCONTROL NMOC,DME,2,2,"ils_dme,dme",DME 10 SGA
IAR,EUROCONTROL NMOC,DME,2,2,"ils_dme,dme",AKUREYRI RWY 19
IBK,EUROCONTROL NMOC,DME,2,2,dme,"BRASILIA,VILNIUS"
IFSW,EUROCONTROL NMOC,DME,2,2,dme,"FRANKFURT IFSW,ROMA/FIUMICINO"
IKM,EUROCONTROL NMOC,DME,2,2,dme,"KAUNAS,KAMENKA"
IKO,EUROCONTROL NMOC,DME,2,2,"ils_dme,dme",KOSTINO
ILB,EUROCONTROL NMOC,DME,2,2,dme,"LISBOA,BISTRICA"
ILI,EUROCONTROL NMOC,DME,2,2,dme,"LISBOA,ILIAMNA"
ILM,EUROCONTROL NMOC,VORTAC,2,2,vortac,"ILAM,WILMINGTON"
IRE,EUROCONTROL NMOC,DME,2,2,dme,"ROENNE,REYKJAVIK"
ISPA,EUROCONTROL NMOC,DME,2,2,dme,"SPANGDAHLEM,SKRYDSTRUP"
JAC,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"JACKSON,JACAREACANGA"
JBL,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"JUBAIL,BALKANABAT"
JDG,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"JEDONG (JEJU),JIAODONG"
JDW,EUROCONTROL NMOC,VORTAC,2,2,vortac,"JEDDAH / KING ABDULAZIZ INTERNATIONAL,JIAOBEI"
