ident,data_originator,adet,farkli_koordinat,tablolar,isimler
ELI,AIR TRAFFIC AND NAVIGATION SERVICES COMPANY LIMITED (ATNS),3,2,"ils_loc,ils_gp,ils_dme",
ESP,EUROCONTROL NMOC,3,2,"vor_dme,dme","ESPERANCE,ESPICHEL"
FER,HUNGAROCONTROL,3,3,"ils_loc,ils_gp,ils_dme",
FFM,EUROCONTROL NMOC,3,2,"vortac,dme","FERGUS FALLS,FRANKFURT"
FHL,HUNGAROCONTROL,3,3,"ils_loc,ils_gp,ils_dme",
FLG,EUROCONTROL NMOC,3,2,"vor_dme,dme","FULING,FLAGSTAFF"
FSA,EUROCONTROL NMOC,3,2,"vor_dme,dme",FORMOSA
FYU,EUROCONTROL NMOC,3,2,"vortac,dme","FORT YUKON,FUYU"
GAA,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
GAD,EUROCONTROL NMOC,3,2,"vor_dme,dme","GHADAMES,GADSDEN"
GAO,EUROCONTROL NMOC,3,2,"vor_dme,dme","NANCHONG,GAO/KOROGOUSSOU"
GEI,AIR TRAFFIC AND NAVIGATION SERVICES COMPANY LIMITED (ATNS),3,3,"ils_loc,ils_gp,ils_dme",
GFK,EUROCONTROL NMOC,3,2,"vor_dme,dme","GRAND FORKS,LIANYUNGANG"
GGI,AIR TRAFFIC AND NAVIGATION SERVICES COMPANY LIMITED (ATNS),3,3,"ils_loc,ils_gp,ils_dme",
GMM,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
GNA,EUROCONTROL NMOC,3,2,"vor_dme,dme","GUAYANA,ELGENIENA"
GPR,HUNGAROCONTROL,3,2,"ils_loc,ils_gp,ils_dme",
GRD,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
GRD,EUROCONTROL NMOC,3,2,"vor_dme,dme","CAMPO GRANDE,HRODNA"
GRO,EUROCONTROL NMOC,3,3,"vor,dme,tacan","GROSSETO,GRONINGEN/EELDE"
HA,EUROCONTROL NMOC,3,3,"vor_dme,dme","KOMSOMOLSK-NA-AMURE/KHURBA,HAMMERFEST,HALLI"
HAB,EUROCONTROL NMOC,3,2,"vortac,dme","KHABAROVSK,HAMADAN / NOGEH"
HAI,EUROCONTROL NMOC,3,2,"vor_dme,dme","MORONI P.S.I,HAIMA"
